,content,score
415,Op,1
416,Maza nhi arha,1
417,Nice,5
418,Good werk,1
419,Bkbas,1
420,Good,5
421,Not good very laggy n chipy ap,1
422,The UI is Good but the speed of app is Slow,4
423,India 36 all out in Australia 🇦🇺 so this application space is 36 mb,4
424,One of the best app which gives information about all games.I suggest you to download this app.,5
425,very good,5
426,Very good app,5
427,Very good,5
428,Ok,5
429,Bad,1
430,100/100,5
431,…...,1
432,Good,5
433,I'm so sorry happy for them and I don't want to be a good day at work today so I'm going to be in a bit of a new phone number and I'll get back to the hospital for the,5
434,Good,5
435,Bad app total time h data waste,1
436,good,5
437,Ok,5
438,Nice,5
439,Bahuti gahtia aap Very very very slow Kuch bhi open nehi ho raha mei isko abhi uninstall karata hu Aa thu,1
440,हाइलाइट्स के नाम पर क्या दिखा रहे हो। मैने सोचा मैच खत्म होने के बाद हाइलाइट्स देख लेता हु उसके लिए मैने ऐप डाउल्ड की लेकिन क्या मिला ऐप में हाइलाइट्स के नाम पर । शेम आन यू स्पोर्ट तक । मैं आपको यूट्यूब पर फॉलो करता हूं वहां से आपके कहने पर मैंने ये ऐप डाउलोड किया और क्या देखने को मिला ।मैं आपका बहुत बड़ा फैन था। लेकिन आप लोगो ने मुझे निराश किया। इसलिए मैने आपको एक स्टार दिया और तो और ये ऐप भी यूनिस्टल कर रहा हु। हाइलाइट्स के नाम पर इंटरव्यू दिखा रहा हो।,1
441,Unbelievable app thanks sports tak team on,5
442,Superb app #VIKRANT SIR#,5
443,Very good,5
444,Cricinfo is better then this app,1
445,Paid opinions,1
446,Lovely app,5
447,i love to watching sports tak,5
448,"Lot of things to improve ,but they are always promote it in their live on YouTube . really disappointed by this .",1
449,A very very useful app,5
450,"Still lot of bugs, unable to open some of the content, It is appreciated if ""Text size"" feature can be added here in this app so that people like me who is having vision issue would be able to read the content property.",2
451,Very good app.,5
452,Bug fixes🙄🙄,3
453,Faltu apps,1
454,Modi K Chatukar Tak ko 1 number 🤣🤣🤣,1
455,बहुत अच्छा ऐप है,5
456,worst👎👎👎👎👎👎👎 app ever use buffering buffering buffering,1
457,Good,4
458,Very good,5
459,Op,5
460,above super,5
461,Wow great app,5
462,Good,5
463,Very user friendly interface,5
464,Falto app hi,1
465,Excelant app,5
466,Kuch khas dalo,5
467,Very very very very very oustanding app in play store ever.,5
468,Good aap super,5
469,Good app,5
470,I love the sports tak family,5
471,Good viki. S best of luck,5
472,Need Improvement...🥲,1
473,Good,5
474,Brilliant app by india today network. I like this app very much because all the updates will be given here and full of sports latest updates,5
475,You need to change vikrant gupta.,2
476,A perfect platform for all sports info❤,5
